City,Deal Name,Discount,Applicable Cards
abbottabad,Second Cup,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
abbottabad,Daraz,10% off every Wednesday with Collectible Vouchers,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
abbottabad,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
abbottabad,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
abbottabad,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
abbottabad,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
abbottabad,Khas Stores,15% off,"+ 6 More Cards, HBL Platinum CreditCard, HBL World DebitCard"
abbottabad,Khas Stores,15% off,HBL Konnect Debit Card
abbottabad,Emirates,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
abbottabad,Hush Puppies,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
abbottabad,Hush Puppies,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
abbottabad,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
abbottabad,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
