City,Deal Name,Discount,Applicable Cards
bahawalnagar,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalnagar,Aga Khan University Hospital,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Aga Khan University Hospital,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
bahawalnagar,Aga Khan University Hospital,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
bahawalnagar,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalnagar,Emirates,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalnagar,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalnagar,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalnagar,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalnagar,Souk Galleria,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
