City,Deal Name,Discount,Applicable Cards
bahawalpur,Chaaye Khana,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Kebabish Continental,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Kebabish Grill,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,La Serre,10% off,"HBL Platinum CreditCard, HBL World Elite DebitCard, + 8 More Cards"
bahawalpur,Daraz,10% off every Wednesday with Collectible Vouchers,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
bahawalpur,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
bahawalpur,Aga Khan University Hospital,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Aga Khan University Hospital,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
bahawalpur,Aga Khan University Hospital,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
bahawalpur,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Khas Stores,15% off,"+ 6 More Cards, HBL Platinum CreditCard, HBL World DebitCard"
bahawalpur,Khas Stores,15% off,HBL Konnect Debit Card
bahawalpur,Shell,Up to 10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Emirates,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Hush Puppies,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Hush Puppies,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
bahawalpur,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Souk Galleria,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Faletti's Grand Hotel - Bahawalpur,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Faletti's Grand Hotel - Bahawalpur,20% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
bahawalpur,Shaigan Restaurant,15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bahawalpur,Lataska,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
bahawalpur,Lataska,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
