City,Deal Name,Discount,Applicable Cards
bhalwal,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
bhalwal,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bhalwal,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bhalwal,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bhalwal,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
bhalwal,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bhalwal,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bhalwal,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bhalwal,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bhalwal,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bhalwal,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
bhalwal,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
