City,Deal Name,Discount,Applicable Cards
chichawatni,Daraz,10% off every Wednesday with Collectible Vouchers,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chichawatni,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chichawatni,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
chichawatni,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
chichawatni,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chichawatni,Emirates,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chichawatni,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chichawatni,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chichawatni,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
chichawatni,Healthwire,UP TO 14% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chichawatni,Souk Galleria,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
