City,Deal Name,Discount,Applicable Cards
chiniot,Daraz,10% off every Wednesday with Collectible Vouchers,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chiniot,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
chiniot,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chiniot,Aga Khan Pharmacies,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
chiniot,Aga Khan Pharmacies,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
chiniot,Aga Khan Pharmacies,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
chiniot,Aga Khan University Hospital,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
chiniot,Aga Khan University Hospital,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
chiniot,Aga Khan University Hospital,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
chiniot,Khas Stores,15% off,"+ 6 More Cards, HBL Platinum CreditCard, HBL World DebitCard"
chiniot,Khas Stores,15% off,HBL Konnect Debit Card
chiniot,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chiniot,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chiniot,Healthwire,UP TO 14% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
chiniot,Souk Galleria,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
