City,Deal Name,Discount,Applicable Cards
daska,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
daska,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
daska,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
daska,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
daska,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
daska,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
daska,Khas Stores,15% off,"+ 6 More Cards, HBL Platinum CreditCard, HBL World DebitCard"
daska,Khas Stores,15% off,HBL Konnect Debit Card
daska,Emirates,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
daska,Hush Puppies,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
daska,Hush Puppies,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
daska,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
daska,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
daska,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
daska,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
daska,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
daska,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
daska,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
daska,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
daska,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
daska,Healthwire,UP TO 14% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
daska,Souk Galleria,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
