City,Deal Name,Discount,Applicable Cards
dera-ghazi-khan,Daraz,10% off every Wednesday with Collectible Vouchers,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
dera-ghazi-khan,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
dera-ghazi-khan,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
dera-ghazi-khan,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
dera-ghazi-khan,Aga Khan University Hospital,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Aga Khan University Hospital,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
dera-ghazi-khan,Aga Khan University Hospital,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
dera-ghazi-khan,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
dera-ghazi-khan,Emirates,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
dera-ghazi-khan,Hush Puppies,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Hush Puppies,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
dera-ghazi-khan,flydubai,UP TO 15% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
dera-ghazi-khan,Mothercare,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
dera-ghazi-khan,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ghazi-khan,Souk Galleria,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
