City,Deal Name,Discount,Applicable Cards
dera-ismail-khan,Aga Khan Pharmacies,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Aga Khan Pharmacies,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
dera-ismail-khan,Aga Khan Pharmacies,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
dera-ismail-khan,Aga Khan University Hospital,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Aga Khan University Hospital,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
dera-ismail-khan,Aga Khan University Hospital,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
dera-ismail-khan,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
dera-ismail-khan,Healthwire,UP TO 14% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
