City,Deal Name,Discount,Applicable Cards
faisalabad,Portobello,30% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
faisalabad,Portobello,15% off,"HBL Platinum CreditCard, + 3 More Cards, HBL World DebitCard"
faisalabad,Bombay Chowpatty,20% off,"HBL Platinum CreditCard, + 2 More Cards, HBL World Elite DebitCard"
faisalabad,Bombay Chowpatty,15% off,"HBL Titanium DebitCard, HBL Gold CreditCard"
faisalabad,Bombay Chowpatty,10% off,"HBL DebitCard, + 2 More Cards, HBL Green CreditCard"
faisalabad,Bombay Chowpatty,10% off,HBL Konnect Debit Card
faisalabad,Salt'n Pepper Restaurant,30% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,Baba Tikkah,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,The Melting Swan,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,The China Kitchen,10% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,Golden Bowl,15% off on Takeaway,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,Golden Bowl,10% off on Dining,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,The Dynasty,30% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
faisalabad,The Dynasty,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
faisalabad,Hardee's,25% off,HBL World Elite DebitCard
faisalabad,Hardee's,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
faisalabad,Hardee's,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
faisalabad,Pizza Max,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,Pizza Max,20% off,HBL Konnect Debit Card
faisalabad,Cafe Cilantro,30% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
faisalabad,Cafe Cilantro,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
faisalabad,Threads & Motifs,15% off,"HBL Platinum CreditCard, HBL World Elite DebitCard, + 8 More Cards"
faisalabad,Threads & Motifs,15% off,HBL Konnect Debit Card
faisalabad,Second Cup,20% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,Speed Sports,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
faisalabad,Speed Sports,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
faisalabad,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
faisalabad,foodpanda,25% off,"+ 7 More Cards, HBL Platinum CreditCard, HBL World Elite DebitCard"
faisalabad,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
faisalabad,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Titanium DebitCard, HBL Gold CreditCard"
faisalabad,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Nisa DebitCard, HBL Green CreditCard"
