City,Deal Name,Discount,Applicable Cards
islamabad,Bar.B.Q Tonight,40% off,HBL World Elite DebitCard
islamabad,Bar.B.Q Tonight,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
islamabad,Bar.B.Q Tonight,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
islamabad,Tuscany Courtyard,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Tuscany Courtyard,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
islamabad,NOI-Stir Fry Kitchen,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,NOI-Stir Fry Kitchen,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
islamabad,Table Talk,25% off,HBL World Elite DebitCard
islamabad,Table Talk,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
islamabad,Asian Wok,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Mandarin Kitchen,30% off,HBL World Elite DebitCard
islamabad,Mandarin Kitchen,25% off,"HBL Platinum CreditCard, HBL World DebitCard"
islamabad,SUMO,30% off,HBL World Elite DebitCard
islamabad,SUMO,25% off,"HBL Platinum CreditCard, HBL World DebitCard"
islamabad,Hardee's,25% off,HBL World Elite DebitCard
islamabad,Hardee's,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
islamabad,Hardee's,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
islamabad,Papa John's Pizza,30% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
islamabad,Bonsai Pan Asian Kitchen,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
islamabad,Bonsai Pan Asian Kitchen,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
islamabad,Bonsai Pan Asian Kitchen,10% off,"HBL DebitCard, HBL Green CreditCard, HBL Nisa DebitCard"
islamabad,Costa Coffee Pakistan,25% off,HBL World Elite DebitCard
