City,Deal Name,Discount,Applicable Cards
karachi,Kababjees,30% off,HBL World Elite DebitCard
karachi,Kababjees,25% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, + 2 More Cards"
karachi,Kababjees,15% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Kababjees,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Royal Taj Restaurant,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Royal Taj Restaurant,15% off,"+ 5 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Sajjad Restaurant,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Sajjad Restaurant,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Sajjad Restaurant,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Chaaye Khana,20% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Chaaye Khana,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Ghalib Restaurant,25% off,"HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Ghalib Restaurant,20% off,HBL World DebitCard
karachi,Ghalib Restaurant,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Al-Habib Restaurant,20% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Al-Habib Restaurant,20% off,HBL Konnect Debit Card
karachi,Angeethi,30% off,HBL World Elite DebitCard
karachi,Angeethi,25% off,HBL Platinum CreditCard
karachi,Angeethi,20% off,HBL World DebitCard
karachi,Daily Dubai Restaurant,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Daily Dubai Restaurant,10% off,"HBL Green CreditCard, + 2 More Cards, HBL Gold CreditCard"
karachi,Rangoli,15% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Bar.B.Q Tonight,40% off,HBL World Elite DebitCard
karachi,Bar.B.Q Tonight,20% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Bar.B.Q Tonight,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Cafe Aylanto,30% off,HBL Platinum CreditCard
karachi,Cafe Aylanto,20% off,"HBL World DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Cafe Aylanto,15% off,HBL Titanium DebitCard
karachi,Cote Rotie,30% off,HBL World Elite DebitCard
karachi,Cote Rotie,25% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, HBL Gold CreditCard"
karachi,Cote Rotie,15% off,HBL Gold CreditCard
karachi,Sakura,30% off,HBL Platinum CreditCard
karachi,Fuchsia,30% off,HBL Platinum CreditCard
karachi,Fuchsia,20% off,"HBL World DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Fuchsia,15% off,HBL Titanium DebitCard
karachi,Cafe Flo,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Okra,30% off,HBL Platinum CreditCard
karachi,Okra,20% off,HBL World DebitCard
karachi,Okra,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Saltage Steakhouse,25% off,HBL World Elite DebitCard
karachi,Saltage Steakhouse,20% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Pie in the Sky,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Pie in the Sky,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Pie in the Sky,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,OD,10% off,"HBL World Elite DebitCard, + 8 More Cards, HBL Platinum CreditCard"
karachi,Hobnob Bakery,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Hobnob Bakery,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Hobnob Bakery,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Coco 9 Cafe,10% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Del Frio,15% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, + 2 More Cards"
karachi,Del Frio,10% off,"HBL World DebitCard, + 6 More Cards, HBL Platinum CreditCard"
karachi,Hardee's,25% off,HBL World Elite DebitCard
karachi,Hardee's,20% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Hardee's,15% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,FYI,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,FYI,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,FYI,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Famous O's Pizza,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Famous O's Pizza,10% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Pizza Max,20% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Pizza Max,20% off,HBL Konnect Debit Card
karachi,Platter Planet,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Markhor Smoked Meat,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Markhor Smoked Meat,10% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Markhor Smoked Meat,10% off,HBL Konnect Debit Card
karachi,IHOP - Pakistan,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,IHOP - Pakistan,10% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Newbury Cafe,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Cocochan,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Cocochan,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Mâmiche by Easy,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Mâmiche by Easy,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Mâmiche by Easy,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Costa Coffee Pakistan,25% off,HBL World Elite DebitCard
karachi,Costa Coffee Pakistan,20% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Costa Coffee Pakistan,10% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Nabila's,30% off,HBL World Elite DebitCard
karachi,Nabila's,25% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Peng Salon & Spa,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Peng Salon & Spa,10% off,"+ 3 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Threads & Motifs,15% off,"HBL World Elite DebitCard, + 8 More Cards, HBL Platinum CreditCard"
karachi,Threads & Motifs,15% off,HBL Konnect Debit Card
karachi,Spa Ceylon,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Toni&Guy South Pakistan,25% off,HBL World Elite DebitCard
karachi,Toni&Guy South Pakistan,20% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Toni&Guy South Pakistan,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,image,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,image,10% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Charles & Keith,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Charles & Keith,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,SteaK By CFU,25% off,HBL World Elite DebitCard
karachi,SteaK By CFU,20% off,HBL Platinum CreditCard
karachi,SteaK By CFU,15% off,HBL World DebitCard
karachi,Testkitchen by Okra,30% off,HBL World Elite DebitCard
karachi,Testkitchen by Okra,25% off,HBL Platinum CreditCard
karachi,Testkitchen by Okra,20% off,HBL World DebitCard
karachi,Testkitchen by Okra,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Butlers Chocolate Cafe,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Butlers Chocolate Cafe,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Butlers Chocolate Cafe,10% off,HBL Green CreditCard
karachi,Espresso,25% off,HBL World Elite DebitCard
karachi,Espresso,20% off,"HBL World DebitCard, HBL Platinum CreditCard"
karachi,Espresso,15% off,HBL Gold CreditCard
karachi,PAUL Pakistan,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Daraz,10% off every Wednesday with Collectible Vouchers,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Speed Sports,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Speed Sports,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Nike,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Nike,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,The Patio,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,The Patio,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,DVAGO,10% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,M Jafferjees,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,M Jafferjees,10% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Beaute Collection,Flat 25% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Xander's,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Chef's Table Pakistan,25% off,HBL World Elite DebitCard
karachi,Chef's Table Pakistan,20% off,HBL Platinum CreditCard
karachi,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
karachi,foodpanda,25% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Coffee Planet,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Coffee Planet,10% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Slice of Life,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Slice of Life,10% off,"+ 2 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Pearl Continental,40% off,HBL World Elite DebitCard
karachi,Pearl Continental,30% off,HBL Platinum CreditCard
karachi,Nadia Coffee Shop,40% off,HBL World Elite DebitCard
karachi,Nadia Coffee Shop,30% off,HBL Platinum CreditCard
karachi,Terrace Cafe,40% off,HBL World Elite DebitCard
karachi,Terrace Cafe,30% off,HBL Platinum CreditCard
karachi,Great Room,40% off,HBL World Elite DebitCard
karachi,Great Room,30% off,HBL Platinum CreditCard
karachi,La Patisserie,40% off (Marriott Hotel),HBL World Elite DebitCard
karachi,La Patisserie,30% off (Marriott Hotel),HBL Platinum CreditCard
karachi,Tai-Pan,40% off,HBL World Elite DebitCard
karachi,Tai-Pan,30% off,HBL Platinum CreditCard
karachi,Marco Polo,40% off,HBL World Elite DebitCard
karachi,Marco Polo,30% off,HBL Platinum CreditCard
karachi,Bakers Boutique,40% off,HBL World Elite DebitCard
karachi,Bakers Boutique,30% off,HBL Platinum CreditCard
karachi,Chandni,40% off,HBL World Elite DebitCard
karachi,Chandni,30% off,HBL Platinum CreditCard
karachi,Grapevine Cafe,40% off,HBL World Elite DebitCard
karachi,Grapevine Cafe,30% off,HBL Platinum CreditCard
karachi,Aga Khan Laboratories,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Aga Khan Laboratories,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Aga Khan Laboratories,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Aga Khan Pharmacies,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Aga Khan Pharmacies,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Aga Khan Pharmacies,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
