City,Deal Name,Discount,Applicable Cards
multan,China Town,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,China Town,10% off,"HBL Gold DebitCard, HBL Gold CreditCard, + 5 More Cards"
multan,Jade Cafe,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Jade Cafe,10% off,"HBL Gold DebitCard, HBL Gold CreditCard, + 5 More Cards"
multan,Belmorris Hotels & Resorts,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Belmorris Hotels & Resorts,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
multan,Devour,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
multan,Aangan Restaurant & Banquet Hall,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Aangan Restaurant & Banquet Hall,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
multan,Mizaj Restaurant,15% off,HBL World Elite DebitCard
multan,Mizaj Restaurant,10% off,"HBL Platinum CreditCard, + 6 More Cards, HBL World DebitCard"
multan,Flames by Zaytoon,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Flames by Zaytoon,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
multan,Hardee's,25% off,HBL World Elite DebitCard
multan,Hardee's,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
multan,Hardee's,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
multan,Pizza Max,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
multan,Pizza Max,20% off,HBL Konnect Debit Card
multan,YUM Chinese & Thai,30% off,HBL World Elite DebitCard
multan,YUM Chinese & Thai,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
multan,YUM Chinese & Thai,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
multan,Second Cup,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
multan,Daraz,10% off every Wednesday with Collectible Vouchers,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
multan,Speed Sports,25% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Speed Sports,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
multan,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
multan,foodpanda,25% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
multan,Pearl Continental,40% off,HBL World Elite DebitCard
multan,Pearl Continental,30% off,HBL Platinum CreditCard
multan,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
multan,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Green CreditCard, HBL Nisa DebitCard"
multan,Aga Khan Pharmacies,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
multan,Aga Khan Pharmacies,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
multan,Aga Khan Pharmacies,10% off,"HBL DebitCard, HBL Green CreditCard, HBL Nisa DebitCard"
multan,Aga Khan University Hospital,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
