City,Deal Name,Discount,Applicable Cards
peshawar,Melting Spot Pizza,15% off,"HBL Platinum CreditCard, + 2 More Cards, HBL World Elite DebitCard"
peshawar,Melting Spot Pizza,10% off,"HBL Gold DebitCard, + 3 More Cards, HBL Gold CreditCard"
peshawar,Downtown Bistro Peshawar,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,Hardee's,25% off,HBL World Elite DebitCard
peshawar,Hardee's,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
peshawar,Hardee's,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
peshawar,image,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,image,10% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
peshawar,Daraz,10% off every Wednesday with Collectible Vouchers,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
peshawar,foodpanda,25% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,Pearl Continental,40% off,HBL World Elite DebitCard
peshawar,Pearl Continental,30% off,HBL Platinum CreditCard
peshawar,Tai-Pan,40% off,HBL World Elite DebitCard
peshawar,Tai-Pan,30% off,HBL Platinum CreditCard
peshawar,Bukhara,40% off,HBL World Elite DebitCard
peshawar,Bukhara,30% off,HBL Platinum CreditCard
peshawar,Bakers Boutique,40% off,HBL World Elite DebitCard
peshawar,Bakers Boutique,30% off,HBL Platinum CreditCard
peshawar,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
peshawar,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Green CreditCard, HBL Nisa DebitCard"
peshawar,Aga Khan Pharmacies,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Aga Khan Pharmacies,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
peshawar,Aga Khan Pharmacies,10% off,"HBL DebitCard, HBL Green CreditCard, HBL Nisa DebitCard"
peshawar,Aga Khan University Hospital,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Aga Khan University Hospital,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
peshawar,Aga Khan University Hospital,10% off,"HBL DebitCard, HBL Green CreditCard, HBL Nisa DebitCard"
peshawar,Careem,20% off on 3 Rides,"+ 3 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Qatar Airways,UP TO 12% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,Emirates,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,flydubai,UP TO 15% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,Mothercare,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Healthwire,UP TO 14% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,Souk Galleria,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
peshawar,Nazara,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Nazara,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
peshawar,Nazara,10% off,"HBL DebitCard, HBL Green CreditCard"
peshawar,Rakaposhi Café & Patisserie,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
peshawar,Rakaposhi Café & Patisserie,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
peshawar,Rakaposhi Café & Patisserie,10% off,"HBL DebitCard, HBL Green CreditCard"
