City,Deal Name,Discount,Applicable Cards
rawalpindi,China Town,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,China Town,10% off,"HBL Gold DebitCard, HBL Gold CreditCard, + 5 More Cards"
rawalpindi,Hardee's,25% off,HBL World Elite DebitCard
rawalpindi,Hardee's,20% off,"HBL Platinum CreditCard, HBL World DebitCard"
rawalpindi,Hardee's,15% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
rawalpindi,Pizza Max,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,Pizza Max,20% off,HBL Konnect Debit Card
rawalpindi,Papa John's Pizza,30% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,image,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,image,10% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
rawalpindi,Ox & Grill Steakhouse,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Ox & Grill Steakhouse,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
rawalpindi,Daraz,10% off every Wednesday with Collectible Vouchers,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,foodpanda,30% off,"HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,foodpanda,25% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,Coffee Planet,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Coffee Planet,10% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
rawalpindi,Pearl Continental,40% off,HBL World Elite DebitCard
rawalpindi,Pearl Continental,30% off,HBL Platinum CreditCard
rawalpindi,Jason's Steak House,40% off,HBL World Elite DebitCard
rawalpindi,Jason's Steak House,30% off,HBL Platinum CreditCard
rawalpindi,The Front Page Cafe,40% off,HBL World Elite DebitCard
rawalpindi,The Front Page Cafe,30% off,HBL Platinum CreditCard
rawalpindi,Tai-Pan,40% off,HBL World Elite DebitCard
rawalpindi,Tai-Pan,30% off,HBL Platinum CreditCard
rawalpindi,Marco Polo,40% off,HBL World Elite DebitCard
rawalpindi,Marco Polo,30% off,HBL Platinum CreditCard
rawalpindi,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
rawalpindi,Aga Khan Laboratories,10% off,"HBL DebitCard, HBL Green CreditCard, HBL Nisa DebitCard"
rawalpindi,Kitchen Cuisine,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Qatar Airways,UP TO 12% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,Khas Stores,15% off,"HBL Platinum CreditCard, + 6 More Cards, HBL World DebitCard"
rawalpindi,Khas Stores,15% off,HBL Konnect Debit Card
rawalpindi,Chashni,30% off,HBL World Elite DebitCard
rawalpindi,Chashni,25% off,HBL Platinum CreditCard
rawalpindi,Shell,Up to 10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,Emirates,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,Hush Puppies,15% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Hush Puppies,10% off,"HBL Gold DebitCard, + 4 More Cards, HBL Gold CreditCard"
rawalpindi,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Healthwire,UP TO 14% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
rawalpindi,Timex,20% off,"HBL Platinum CreditCard, HBL World DebitCard, HBL World Elite DebitCard"
rawalpindi,Timex,15% off,HBL Gold CreditCard
