City Name,Deal Name,Discount,Applicable Cards
abbottabad,Second Cup,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
abbottabad,Daraz,10% off every Wednesday with Collectible Vouchers,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
abbottabad,foodpanda,30% off,"HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,foodpanda,25% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
abbottabad,Aga Khan Laboratories,20% off,"HBL Platinum CreditCard, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Aga Khan Laboratories,15% off,"HBL Gold DebitCard, HBL Gold CreditCard, HBL Titanium DebitCard"
abbottabad,Aga Khan Laboratories,10% off,"HBL Nisa DebitCard, HBL DebitCard, HBL Green CreditCard"
abbottabad,Careem,20% off on 3 Rides,"+ 3 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Qatar Airways,UP TO 12% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
abbottabad,Khas Stores,15% off,"HBL Platinum CreditCard, + 6 More Cards, HBL World DebitCard"
abbottabad,Khas Stores,15% off,HBL Konnect Debit Card
abbottabad,Emirates,10% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
abbottabad,Hush Puppies,15% off,"HBL Platinum CreditCard, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Hush Puppies,10% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
abbottabad,flydubai,UP TO 15% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
abbottabad,Mothercare,20% off,"HBL Platinum CreditCard, + 7 More Cards, HBL World Elite DebitCard"
abbottabad,Taşkonaklar Hotel,Sunrise Breakfast,"+ 6 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Taşkonaklar Hotel,Private Guided Tour,"+ 6 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"+ 6 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Taşkonaklar Hotel,Valley Walk and Picnic,"+ 6 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Taşkonaklar Hotel,Valley Walk and Jam Making,"+ 6 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Taşkonaklar Hotel,Pottery Workshop,"+ 6 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
abbottabad,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"+ 6 More Cards, HBL World Elite DebitCard, HBL World DebitCard"
