City Name,Deal Name,Discount,Applicable Cards
ahmed-pur-east,Daraz,10% off every Wednesday with Collectible Vouchers,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
ahmed-pur-east,Qatar Airways,UP TO 12% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
ahmed-pur-east,Emirates,10% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
ahmed-pur-east,flydubai,UP TO 15% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
ahmed-pur-east,Mothercare,20% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
ahmed-pur-east,Taşkonaklar Hotel,Sunrise Breakfast,"HBL World DebitCard, + 6 More Cards, HBL World Elite DebitCard"
ahmed-pur-east,Taşkonaklar Hotel,Private Guided Tour,"HBL World DebitCard, + 6 More Cards, HBL World Elite DebitCard"
ahmed-pur-east,Taşkonaklar Hotel,Stay at the Taskonaklar Hotel in Cappadocia & Receive a Complimentary Excursion,"HBL World DebitCard, + 6 More Cards, HBL World Elite DebitCard"
ahmed-pur-east,Taşkonaklar Hotel,Valley Walk and Picnic,"HBL World DebitCard, + 6 More Cards, HBL World Elite DebitCard"
ahmed-pur-east,Taşkonaklar Hotel,Valley Walk and Jam Making,"HBL World DebitCard, + 6 More Cards, HBL World Elite DebitCard"
ahmed-pur-east,Taşkonaklar Hotel,Pottery Workshop,"HBL World DebitCard, + 6 More Cards, HBL World Elite DebitCard"
ahmed-pur-east,Taşkonaklar Hotel,Book Your Stay at Boutique Hotel Taskonaklar with a Complimentary Experience,"HBL World DebitCard, + 6 More Cards, HBL World Elite DebitCard"
ahmed-pur-east,Healthwire,UP TO 14% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
ahmed-pur-east,Souk Galleria,10% off,"+ 7 More Cards, HBL World Elite DebitCard, HBL Platinum CreditCard"
